YEAR,CLUSTER,X,Y
2018,48,-104.418175,3.1904738
2018,29,-71.176414,31.683638
2018,64,-90.05665,-26.781008
2018,29,-47.691402,18.922972
2018,28,-27.27638,-41.60729
2018,65,-11.712602,-64.4543
2018,58,-1.5726701,-68.053024
2018,58,-5.077569,-63.661903
2018,2,-35.62325,-76.85137
2018,2,-37.614517,-72.8773
2018,58,-13.184979,-62.259716
2018,2,-35.404114,-76.733246
2018,2,-37.607246,-72.87883
2018,50,-1.8652676,84.93972
2018,4,-25.604498,57.67216
2019,0,29.707703,73.33179
2019,31,-3.0403225,20.158958
2019,31,-2.9890566,19.982515
2019,62,-23.331392,-20.92126
2009,40,35.712555,2.961989
2009,62,-17.330399,-19.64446
2009,12,94.27929,-33.14758
2009,0,50.935966,63.585033
2009,1,-15.967883,75.06917
2009,10,-53.390896,-11.779702
2009,2,-32.989452,-77.93119
2021,66,-3.7023127,48.626392
2021,0,33.28377,79.455055
2021,22,21.643332,17.977766
2021,67,-1.1138898,13.976328
2021,23,13.272962,13.472955
2021,23,15.631918,16.687809
2021,5,13.435706,20.392836
2021,68,48.4699,34.43935
2021,43,56.20186,24.826616
2021,20,2.1816196,-55.74461
2021,12,85.787506,-16.280031
2021,69,-62.52937,22.849295
2021,32,14.966427,65.399315
2007,31,-10.1923895,30.398367
2007,31,-10.065462,30.447987
2005,1,3.9374735,95.35696
2005,7,-12.391401,12.7739935
2005,9,-29.713121,-11.2774935
2021,0,42.26036,67.568214
2021,31,-45.30748,29.385368
2021,66,-9.509915,48.96135
2021,27,-46.91153,28.139217
2021,31,-45.679413,30.907536
2021,66,-9.515165,48.961628
2021,60,-46.549026,29.406311
2021,31,-45.71329,30.876825
2010,0,44.902534,72.98499
2010,22,29.936886,26.295248
2010,22,25.569447,21.344425
2010,20,7.1275854,-52.160164
2010,23,14.829811,12.056192
2010,8,-11.885351,-0.81721807
2010,8,-4.4633584,2.6256878
2010,12,73.265205,-14.665097
2010,36,-55.18591,-25.704647
2010,13,0.2050654,-93.76491
2010,31,20.146019,-79.869545
2010,1,-1.3516048,103.29661
2007,0,49.676544,55.82941
2007,25,30.71785,-9.183822
2007,66,-3.8459625,43.3973
2007,70,30.9622,-12.54731
2007,70,29.812288,-14.248717
2007,12,92.057915,-0.70364696
2020,54,23.452467,45.73056
2020,7,42.04967,26.319233
